station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,98,79
T2航站楼,7,168,74
T2航站楼,8,217,89
T2航站楼,9,260,99
T2航站楼,10,188,136
T2航站楼,11,145,136
T2航站楼,12,136,154
T2航站楼,13,150,79
T2航站楼,14,131,94
T2航站楼,15,123,119
T2航站楼,16,149,102
T2航站楼,17,185,205
T2航站楼,18,145,185
T2航站楼,19,173,128
T2航站楼,20,122,160
T2航站楼,21,121,121
T2航站楼,22,63,73
T2航站楼,23,9,1
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,171,107
T3航站楼,7,249,68
T3航站楼,8,284,99
T3航站楼,9,277,96
T3航站楼,10,292,173
T3航站楼,11,205,138
T3航站楼,12,230,125
T3航站楼,13,223,163
T3航站楼,14,216,170
T3航站楼,15,162,160
T3航站楼,16,160,163
T3航站楼,17,183,198
T3航站楼,18,246,184
T3航站楼,19,170,174
T3航站楼,20,96,157
T3航站楼,21,104,96
T3航站楼,22,80,84
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,1
七里庄,5,5,74
七里庄,6,178,738
七里庄,7,879,1830
七里庄,8,1478,1568
七里庄,9,631,699
七里庄,10,399,442
七里庄,11,386,361
七里庄,12,319,353
七里庄,13,316,386
七里庄,14,368,368
七里庄,15,361,456
七里庄,16,493,490
七里庄,17,1016,1081
七里庄,18,1516,905
七里庄,19,983,492
七里庄,20,592,356
七里庄,21,439,264
七里庄,22,321,74
七里庄,23,97,8
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,1
万安,6,4,14
万安,7,6,30
万安,8,26,33
万安,9,11,10
万安,10,7,5
万安,11,7,8
万安,12,2,7
万安,13,2,6
万安,14,2,4
万安,15,13,5
万安,16,4,4
万安,17,11,26
万安,18,22,7
万安,19,15,7
万安,20,5,5
万安,21,5,0
万安,22,1,0
万安,23,0,0
万寿路,0,2,4
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,2,6
万寿路,5,11,106
万寿路,6,252,625
万寿路,7,1122,2087
万寿路,8,1666,1577
万寿路,9,617,626
万寿路,10,390,314
万寿路,11,388,326
万寿路,12,370,368
万寿路,13,378,387
万寿路,14,404,361
万寿路,15,367,392
万寿路,16,494,575
万寿路,17,1109,1450
万寿路,18,1425,1041
万寿路,19,830,510
万寿路,20,571,532
万寿路,21,468,482
万寿路,22,336,146
万寿路,23,74,15
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,32
万源街,6,78,133
万源街,7,444,319
万源街,8,1474,378
万源街,9,548,188
万源街,10,216,143
万源街,11,177,167
万源街,12,173,189
万源街,13,210,174
万源街,14,212,181
万源街,15,185,190
万源街,16,215,299
万源街,17,241,887
万源街,18,431,637
万源街,19,357,306
万源街,20,168,208
万源街,21,102,159
万源街,22,73,76
万源街,23,36,6
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,79,127
三元桥,6,655,1108
三元桥,7,2884,1868
三元桥,8,7390,2574
三元桥,9,4553,1572
三元桥,10,1782,1040
三元桥,11,1113,926
三元桥,12,1049,972
三元桥,13,1162,939
三元桥,14,1063,1040
三元桥,15,989,1091
三元桥,16,1118,1422
三元桥,17,1712,3922
三元桥,18,2539,5063
三元桥,19,1709,2797
三元桥,20,982,1543
三元桥,21,786,1104
三元桥,22,437,478
三元桥,23,118,54
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,18,171
上地,6,285,1190
上地,7,1525,2187
上地,8,4290,1865
上地,9,2831,1119
上地,10,922,552
上地,11,528,476
上地,12,539,534
上地,13,619,532
上地,14,575,534
上地,15,557,532
上地,16,749,740
上地,17,1280,1688
上地,18,2086,2548
上地,19,1651,1735
上地,20,1028,1160
上地,21,849,833
上地,22,592,267
上地,23,156,12
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,1,40
上岸,6,31,275
上岸,7,120,744
上岸,8,123,411
上岸,9,80,146
上岸,10,52,68
上岸,11,51,80
上岸,12,47,69
上岸,13,63,98
上岸,14,67,58
上岸,15,78,77
上岸,16,100,72
上岸,17,217,106
上岸,18,436,130
上岸,19,413,59
上岸,20,200,32
上岸,21,182,22
上岸,22,124,3
上岸,23,44,0
东单,0,0,0
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,1
东单,5,77,44
东单,6,1025,137
东单,7,3907,389
东单,8,6921,636
东单,9,3747,842
东单,10,1518,918
东单,11,780,1016
东单,12,959,827
东单,13,1157,785
东单,14,843,1041
东单,15,640,1243
东单,16,534,1524
东单,17,651,4001
东单,18,643,3822
东单,19,432,1822
东单,20,201,1137
东单,21,160,812
东单,22,93,507
东单,23,35,33
东四,0,0,2
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,37,56
东四,6,487,265
东四,7,2010,825
东四,8,2859,766
东四,9,1278,488
东四,10,613,412
东四,11,435,420
东四,12,442,409
东四,13,531,470
东四,14,458,483
东四,15,447,726
东四,16,505,1134
东四,17,688,2574
东四,18,848,1689
东四,19,461,798
东四,20,336,580
东四,21,273,403
东四,22,194,216
东四,23,67,20
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,0
东四十条,5,37,70
东四十条,6,465,288
东四十条,7,2391,948
东四十条,8,6374,933
东四十条,9,3984,582
东四十条,10,1237,580
东四十条,11,704,685
东四十条,12,632,780
东四十条,13,770,681
东四十条,14,971,648
东四十条,15,610,1002
东四十条,16,541,1343
东四十条,17,920,4138
东四十条,18,1026,4214
东四十条,19,572,1775
东四十条,20,294,1007
东四十条,21,250,646
东四十条,22,182,271
东四十条,23,37,17
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,4
东夏园,5,1,101
东夏园,6,130,449
东夏园,7,308,688
东夏园,8,695,731
东夏园,9,288,397
东夏园,10,141,191
东夏园,11,116,148
东夏园,12,86,183
东夏园,13,129,144
东夏园,14,127,130
东夏园,15,116,151
东夏园,16,164,267
东夏园,17,318,575
东夏园,18,599,363
东夏园,19,543,149
东夏园,20,272,61
东夏园,21,206,55
东夏园,22,159,11
东夏园,23,96,1
东大桥,0,4,4
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,3
东大桥,5,55,70
东大桥,6,826,283
东大桥,7,2973,707
东大桥,8,6668,862
东大桥,9,5046,789
东大桥,10,1776,766
东大桥,11,965,749
东大桥,12,971,753
东大桥,13,985,842
东大桥,14,908,965
东大桥,15,748,1226
东大桥,16,700,1598
东大桥,17,1072,3730
东大桥,18,1290,5045
东大桥,19,746,2845
东大桥,20,386,1825
东大桥,21,302,1536
东大桥,22,188,679
东大桥,23,63,67
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
