station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,148,34
T2航站楼,7,309,60
T2航站楼,8,308,57
T2航站楼,9,393,147
T2航站楼,10,391,209
T2航站楼,11,372,165
T2航站楼,12,308,219
T2航站楼,13,389,183
T2航站楼,14,407,139
T2航站楼,15,374,198
T2航站楼,16,384,157
T2航站楼,17,459,232
T2航站楼,18,337,193
T2航站楼,19,389,201
T2航站楼,20,288,236
T2航站楼,21,221,120
T2航站楼,22,194,79
T2航站楼,23,27,10
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,237,54
T3航站楼,7,367,66
T3航站楼,8,368,64
T3航站楼,9,506,96
T3航站楼,10,424,213
T3航站楼,11,459,187
T3航站楼,12,533,250
T3航站楼,13,395,199
T3航站楼,14,477,233
T3航站楼,15,438,209
T3航站楼,16,364,166
T3航站楼,17,459,205
T3航站楼,18,353,255
T3航站楼,19,256,214
T3航站楼,20,213,155
T3航站楼,21,170,195
T3航站楼,22,189,134
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,1,5
七里庄,5,2,96
七里庄,6,68,259
七里庄,7,225,406
七里庄,8,277,492
七里庄,9,312,589
七里庄,10,364,543
七里庄,11,396,494
七里庄,12,318,394
七里庄,13,322,469
七里庄,14,317,451
七里庄,15,414,381
七里庄,16,450,331
七里庄,17,550,345
七里庄,18,590,324
七里庄,19,360,278
七里庄,20,384,252
七里庄,21,407,208
七里庄,22,312,58
七里庄,23,74,3
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,2
万安,6,1,4
万安,7,7,2
万安,8,8,25
万安,9,11,40
万安,10,15,47
万安,11,17,46
万安,12,22,53
万安,13,19,50
万安,14,22,29
万安,15,42,25
万安,16,37,17
万安,17,58,28
万安,18,38,4
万安,19,20,3
万安,20,4,5
万安,21,8,3
万安,22,1,0
万安,23,0,0
万寿路,0,0,0
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,4
万寿路,5,6,98
万寿路,6,140,218
万寿路,7,250,358
万寿路,8,349,458
万寿路,9,372,560
万寿路,10,365,542
万寿路,11,374,401
万寿路,12,326,397
万寿路,13,325,371
万寿路,14,396,440
万寿路,15,231,445
万寿路,16,404,391
万寿路,17,460,552
万寿路,18,459,433
万寿路,19,332,385
万寿路,20,334,359
万寿路,21,307,313
万寿路,22,266,150
万寿路,23,66,13
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,3,46
万源街,6,36,96
万源街,7,111,131
万源街,8,227,182
万源街,9,149,219
万源街,10,140,191
万源街,11,159,139
万源街,12,144,166
万源街,13,140,163
万源街,14,162,123
万源街,15,185,150
万源街,16,215,131
万源街,17,200,203
万源街,18,224,180
万源街,19,205,121
万源街,20,139,118
万源街,21,97,106
万源街,22,82,63
万源街,23,36,6
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,3
三元桥,5,98,205
三元桥,6,584,861
三元桥,7,1016,1064
三元桥,8,1178,1186
三元桥,9,1346,1262
三元桥,10,1379,1317
三元桥,11,1336,1266
三元桥,12,1243,1153
三元桥,13,1345,1165
三元桥,14,1305,1112
三元桥,15,1394,1227
三元桥,16,1385,1188
三元桥,17,1460,1357
三元桥,18,1530,1344
三元桥,19,1138,1114
三元桥,20,987,973
三元桥,21,890,780
三元桥,22,612,434
三元桥,23,172,71
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,18,255
上地,6,122,695
上地,7,334,894
上地,8,417,1040
上地,9,467,1126
上地,10,437,1154
上地,11,447,984
上地,12,489,786
上地,13,416,693
上地,14,527,668
上地,15,559,603
上地,16,770,605
上地,17,846,676
上地,18,897,596
上地,19,778,474
上地,20,605,400
上地,21,739,354
上地,22,608,167
上地,23,162,8
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,0,23
上岸,6,24,95
上岸,7,84,124
上岸,8,58,142
上岸,9,46,156
上岸,10,73,174
上岸,11,76,123
上岸,12,58,109
上岸,13,52,101
上岸,14,73,98
上岸,15,100,68
上岸,16,109,104
上岸,17,125,115
上岸,18,167,86
上岸,19,145,54
上岸,20,128,51
上岸,21,102,24
上岸,22,71,5
上岸,23,46,2
东单,0,2,2
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,3
东单,5,19,64
东单,6,255,103
东单,7,547,173
东单,8,871,338
东单,9,1045,308
东单,10,1068,407
东单,11,898,451
东单,12,764,482
东单,13,712,695
东单,14,771,683
东单,15,665,876
东单,16,599,1153
东单,17,563,1497
东单,18,540,1103
东单,19,350,710
东单,20,247,729
东单,21,193,704
东单,22,123,488
东单,23,84,42
东四,0,0,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,24,51
东四,6,237,155
东四,7,400,259
东四,8,563,370
东四,9,678,462
东四,10,723,376
东四,11,614,343
东四,12,566,453
东四,13,582,550
东四,14,609,602
东四,15,574,690
东四,16,411,859
东四,17,469,997
东四,18,497,683
东四,19,368,485
东四,20,321,465
东四,21,295,397
东四,22,198,206
东四,23,68,21
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,13
东四十条,5,13,154
东四十条,6,187,186
东四十条,7,682,264
东四十条,8,706,383
东四十条,9,473,436
东四十条,10,433,397
东四十条,11,460,341
东四十条,12,358,306
东四十条,13,395,383
东四十条,14,393,370
东四十条,15,392,599
东四十条,16,423,526
东四十条,17,460,631
东四十条,18,441,516
东四十条,19,335,464
东四十条,20,291,401
东四十条,21,321,314
东四十条,22,278,215
东四十条,23,72,9
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,13
东夏园,5,1,130
东夏园,6,65,219
东夏园,7,152,288
东夏园,8,211,348
东夏园,9,192,284
东夏园,10,163,257
东夏园,11,182,248
东夏园,12,143,153
东夏园,13,97,187
东夏园,14,141,130
东夏园,15,149,176
东夏园,16,162,182
东夏园,17,258,221
东夏园,18,265,201
东夏园,19,233,117
东夏园,20,191,83
东夏园,21,140,54
东夏园,22,146,15
东夏园,23,70,0
东大桥,0,0,4
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,10
东大桥,5,25,101
东大桥,6,203,180
东大桥,7,627,210
东大桥,8,851,437
东大桥,9,980,485
东大桥,10,920,514
东大桥,11,948,445
东大桥,12,846,480
东大桥,13,752,565
东大桥,14,986,653
东大桥,15,817,763
东大桥,16,853,863
东大桥,17,824,987
东大桥,18,742,976
东大桥,19,603,871
东大桥,20,460,889
东大桥,21,332,973
东大桥,22,283,574
东大桥,23,88,72
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
东湖渠,3,0,0
东湖渠,4,0,16
东湖渠,5,1,63
东湖渠,6,39,146
东湖渠,7,184,216
