station_name,geohash,bike_count,date,lng,lat
天安门东,wx4g0bb,77,2019-05-01,116.401216,39.90778
北京站,wx4g127,148,2019-05-01,116.427287,39.904983
金鱼胡同,wx4g0fr,893,2019-05-01,116.411057,39.915281
王府井,wx4g110,1098,2019-05-01,116.411571,39.908069
中国美术馆,wx4g0gz,308,2019-05-01,116.410803,39.923705
前门,wx4fbxw,82,2019-05-01,116.397937,39.900192
崇文门,wx4fcpu,445,2019-05-01,116.417093,39.901063
东单,wx4g11j,273,2019-05-01,116.41848,39.908325
桥湾,wx4fbyn,15,2019-05-01,116.408464,39.892725
珠市口,wx4fbty,213,2019-05-01,116.398372,39.891334
灯市口,wx4g14s,498,2019-05-01,116.417783,39.917113
磁器口,wx4fcnq,86,2019-05-01,116.41994,39.893172
东四,wx4g1hh,583,2019-05-01,116.417493,39.92437
天桥,wx4fbsq,68,2019-05-01,116.398712,39.88192
广渠门内,wx4fcw2,344,2019-05-01,116.433877,39.893673
天坛东门,wx4fchr,46,2019-05-01,116.420833,39.882558
南锣鼓巷,wx4g0vd,2411,2019-05-01,116.404192,39.933848
张自忠路,wx4g1js,656,2019-05-01,116.417156,39.933592
香河园,wx4g38w,3,2019-05-01,116.442117,39.949568
广渠门外,wx4fcy7,437,2019-05-01,116.448998,39.893648
东四十条,wx4g1t8,126,2019-05-01,116.434133,39.933801
北新桥,wx4g1nu,707,2019-05-01,116.416884,39.940782
永定门外,wx4fb9x,249,2019-05-01,116.399369,39.867435
陶然桥,wx4fb3y,36,2019-05-01,116.387167,39.868791
景泰,wx4fbcp,119,2019-05-01,116.411026,39.86525
东直门,wx4g1x1,1223,2019-05-01,116.435842,39.941626
安定门,wx4g2bt,533,2019-05-01,116.40824,39.94918
雍和宫,wx4g30s,473,2019-05-01,116.417069,39.949336
安德里北街,wx4g29u,193,2019-05-01,116.395145,39.957227
和平里北街,wx4g34m,452,2019-05-01,116.418504,39.958734
安贞桥,wx4g2uj,18,2019-05-01,116.407446,39.968916
西单,wx4g00v,291,2019-05-01,116.374072,39.907383
西直门,wx4epwz,78,2019-05-01,116.355426,39.940474
天安门西,wx4g08c,683,2019-05-01,116.391278,39.907472
和平门,wx4fbrs,664,2019-05-01,116.384209,39.900098
虎坊桥,wx4fbms,195,2019-05-01,116.384596,39.889486
宣武门,wx4fbpt,135,2019-05-01,116.374314,39.899765
灵境胡同,wx4g04k,685,2019-05-01,116.373746,39.915912
菜市口,wx4fbjt,207,2019-05-01,116.374425,39.889296
西四,wx4g05u,328,2019-05-01,116.373332,39.924206
北海北,wx4g0mw,63,2019-05-01,116.386829,39.933247
金融街,wx4epcj,5,2019-05-01,116.363234,39.908627
长椿街,wx4dzzm,357,2019-05-01,116.363355,39.899433
什刹海,wx4g0wm,624,2019-05-01,116.396219,39.937583
陶然亭,wx4fb5t,521,2019-05-01,116.374383,39.87847
牛街,wx4dzvt,185,2019-05-01,116.36354,39.889253
复兴门,wx4epbb,46,2019-05-01,116.356866,39.907242
平安里,wx4g0ju,432,2019-05-01,116.372883,39.933949
广安门内,wx4dzv9,510,2019-05-01,116.358239,39.889418
南礼士路,wx4ep8v,536,2019-05-01,116.352583,39.907234
阜成门,wx4epez,168,2019-05-01,116.356009,39.923686
鼓楼大街,wx4g287,88,2019-05-01,116.393776,39.948972
新街口,wx4g0nb,98,2019-05-01,116.367742,39.940667
车公庄,wx4eptq,82,2019-05-01,116.354357,39.932397
积水潭,wx4g20k,145,2019-05-01,116.373126,39.948653
木樨地,wx4ep2f,214,2019-05-01,116.337583,39.907379
车公庄西,wx4epmr,158,2019-05-01,116.344082,39.932466
达官营,wx4dzm9,191,2019-05-01,116.336455,39.889884
玉渊潭东门,wx4ep62,9,2019-05-01,116.33455,39.915044
红莲南里,wx4dz7d,40,2019-05-01,116.336977,39.877629
动物园,wx4epqe,51,2019-05-01,116.339031,39.93825
二里沟,wx4epjr,49,2019-05-01,116.333721,39.931855
湾子,wx4dzje,70,2019-05-01,116.327753,39.889954
马甸,wx4g27c,63,2019-05-01,116.380788,39.968193
国贸,wx4g41h,11,2019-05-01,116.461841,39.909104
十里河,wx4ff16,24,2019-05-01,116.457983,39.866417
